MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_NEW,VALUE_OLD
010,EINKBELEG,0072099600,0063100426,EKPO,010007209960000020,NETPR,U,     9740.00,     7000.00
010,EINKBELEG,0072099600,0063100426,EKPO,010007209960000020,NETWR,U,       9740.00,       7000.00
010,EINKBELEG,0072099600,0063112812,EKPO,010007209960000020,EREKZ,U,X,
010,EINKBELEG,0072099029,0063143925,EKPO,010007209902900010,NETPR,U,   769072.50,   723170.00
010,EINKBELEG,0072099029,0063143925,EKPO,010007209902900010,NETWR,U,     769072.50,     723170.00
010,EINKBELEG,0072099029,0063143925,EKPO,010007209902900010,TWRKZ,U,2,
010,EINKBELEG,0072099029,0063143925,EKPO,010007209902900010,VRTKZ,U,2,
010,EINKBELEG,0072099029,0063144003,EKPO,010007209902900010,NETPR,U,   800651.50,   769072.50
010,EINKBELEG,0072099029,0063144003,EKPO,010007209902900010,NETWR,U,     800651.50,     769072.50
010,EINKBELEG,0072099029,0063144108,EKPO,010007209902900010,NETPR,U,  1055559.50,   800651.50
010,EINKBELEG,0072099029,0063144108,EKPO,010007209902900010,NETWR,U,    1055559.50,     800651.50
010,EINKBELEG,0072099029,0063144122,EKPO,010007209902900010,NETPR,U,  1060159.50,  1055559.50
010,EINKBELEG,0072099029,0063144122,EKPO,010007209902900010,NETWR,U,    1060159.50,    1055559.50
010,EINKBELEG,0072099029,0063144332,EKPO,010007209902900010,NETPR,U,  1089409.50,  1060159.50
010,EINKBELEG,0072099029,0063144332,EKPO,010007209902900010,NETWR,U,    1089409.50,    1060159.50
010,EINKBELEG,0072099029,0063144403,EKPO,010007209902900010,NETPR,U,  1088759.50,  1089409.50
010,EINKBELEG,0072099029,0063144403,EKPO,010007209902900010,NETWR,U,    1088759.50,    1089409.50
010,EINKBELEG,0072099029,0063144836,EKPO,010007209902900010,NETPR,U,  1103669.50,  1088759.50
010,EINKBELEG,0072099029,0063144836,EKPO,010007209902900010,NETWR,U,    1103669.50,    1088759.50
010,EINKBELEG,0072099029,0063144860,EKPO,010007209902900010,NETPR,U,  1098714.50,  1103669.50
010,EINKBELEG,0072099029,0063144860,EKPO,010007209902900010,NETWR,U,    1098714.50,    1103669.50
010,EINKBELEG,0072099029,0063145082,EKPO,010007209902900010,NETPR,U,  1100057.00,  1098714.50
010,EINKBELEG,0072099029,0063145082,EKPO,010007209902900010,NETWR,U,    1100057.00,    1098714.50
010,EINKBELEG,0072099029,0063145726,EKPO,010007209902900010,NETPR,U,  1015457.00,  1100057.00
010,EINKBELEG,0072099029,0063145726,EKPO,010007209902900010,NETWR,U,    1015457.00,    1100057.00
010,EINKBELEG,0072099029,0063145661,EKPO,010007209902900010,NETPR,U,  1100057.00,  1015457.00
010,EINKBELEG,0072099029,0063145661,EKPO,010007209902900010,NETWR,U,    1100057.00,    1015457.00
010,EINKBELEG,0072099990,0063150446,EKPO,010007209999000010,TXZ01,U,2C20009_HL_Am Hang_400K,2C20009_HL_Am Hang_Strom
010,EINKBELEG,0072099029,0063151103,EKPO,010007209902900010,NETPR,U,  1119557.00,  1100057.00
010,EINKBELEG,0072099029,0063151103,EKPO,010007209902900010,NETWR,U,    1119557.00,    1100057.00
010,EINKBELEG,0072097679,0063176124,EKPO,010007209767900010,NETPR,U,     5400.00,     4000.00
010,EINKBELEG,0072097679,0063176124,EKPO,010007209767900010,NETWR,U,       5400.00,       4000.00
010,EINKBELEG,0071160694,0063232865,EKPO,010007116069400010,NETPR,U,      370.19,     1118.40
010,EINKBELEG,0071160694,0063232865,EKPO,010007116069400010,NETWR,U,     122903.08,     371308.80
010,EINKBELEG,0071160694,0063232865,EKPO,010007116069400020,NETPR,U,       59.18,      178.80
010,EINKBELEG,0071160694,0063232865,EKPO,010007116069400020,NETWR,U,       4497.68,      13588.80
010,EINKBELEG,0072099924,0063245353,EKPO,010007209992400010,NETPR,U,     1090.98,     2000.00
010,EINKBELEG,0072099924,0063245353,EKPO,010007209992400010,NETWR,U,       1090.98,       2000.00
010,EINKBELEG,0072099924,0063245567,EKPO,010007209992400010,NETPR,U,     1500.00,     1090.98
010,EINKBELEG,0072099924,0063245567,EKPO,010007209992400010,NETWR,U,       1500.00,       1090.98
010,EINKBELEG,0072099924,0063245649,EKPO,010007209992400010,NETPR,U,     1090.98,     1500.00
