MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,UDATE,UTIME,TCODE
010,EINKBELEG,0072096566,0057271540,2019-03-01T00:00:00,1970-01-01T08:08:24,ME23N
010,EINKBELEG,0072095124,0059307027,2019-05-29T00:00:00,1970-01-01T08:15:07,ME21N
010,EINKBELEG,0072095124,0059307030,2019-05-29T00:00:00,1970-01-01T08:15:45,ME21N
010,EINKBELEG,0072095124,0061753325,2019-11-29T00:00:00,1970-01-01T08:31:19,ME23N
010,EINKBELEG,0072096696,0061505581,2019-11-06T00:00:00,1970-01-01T11:54:55,ME22N
010,EINKBELEG,0072096696,0067608363,2020-11-05T00:00:00,1970-01-01T08:18:56,ME23N
010,EINKBELEG,0072096696,0068407635,2021-01-06T00:00:00,1970-01-01T15:45:46,ME22N
010,EINKBELEG,0072096696,0068481007,2021-01-12T00:00:00,1970-01-01T11:01:47,ME22N
010,EINKBELEG,0072096700,0060621888,2019-08-27T00:00:00,1970-01-01T15:27:56,ME29N
010,EINKBELEG,0072096700,0060621942,2019-08-27T00:00:00,1970-01-01T15:29:09,ME29N
010,EINKBELEG,0072096700,0060986878,2019-09-25T00:00:00,1970-01-01T07:03:36,ME23N
010,EINKBELEG,0072096700,0061113576,2019-10-07T00:00:00,1970-01-01T07:01:08,ME23N
010,EINKBELEG,0072097266,0062954454,2020-01-10T00:00:00,1970-01-01T16:37:16,ME23N
010,EINKBELEG,0072097266,0063916420,2020-03-03T00:00:00,1970-01-01T07:52:26,ME23N
010,EINKBELEG,0072097266,0063930109,2020-03-03T00:00:00,1970-01-01T13:50:53,ME23N
010,EINKBELEG,0072097266,0063943662,2020-03-04T00:00:00,1970-01-01T06:33:53,ME23N
010,EINKBELEG,0072097762,0061686829,2019-11-21T00:00:00,1970-01-01T06:55:31,ME23N
010,EINKBELEG,0072097762,0062560262,2019-12-12T00:00:00,1970-01-01T07:25:05,ME23N
010,EINKBELEG,0072097762,0062681359,2019-12-17T00:00:00,1970-01-01T13:12:39,ME23N
010,EINKBELEG,0072097762,0062681374,2019-12-17T00:00:00,1970-01-01T13:08:53,ME23N
010,EINKBELEG,0072097762,0062681806,2019-12-17T00:00:00,1970-01-01T13:29:30,ME23N
010,EINKBELEG,0072097762,0062681888,2019-12-17T00:00:00,1970-01-01T13:35:33,ME23N
010,EINKBELEG,0072099600,0062751403,2019-12-20T00:00:00,1970-01-01T08:17:26,ME23N
